Pre POSN 2 Round 1 2023,Traffic,Number Game,Card Flipping
ttamx,100,100,100
krit3379,100,100,100
blackslex,100,80,100
Thawin Tengamnuay,100,50,100
PPangpond,100,35,100
win11905,30,100,100
PatchyKawaiiDesu,100,30,100
CBUP,18,100,100
JJAnawat,0,100,100
sleepntsheep,0,50,100
hi,0,35,100
Suwat Teiwasuculmetri,0,35,100
DeepAung,0,35,100
Aimeric,0,30,100
Wachi,0,30,100
Kitinat K,0,22,100
kittinat,0,22,100
kidkids,0,8,100
Thitithat Tiankrajang,0,8,100
North1304,0,8,100
Thithi Santilinon,0,7,100
yinyang_alluadite,0,0,100
Khun_T,0,0,100
subforwork,0,0,100
lo0ker,0,0,100
Itthikorn,0,0,100
painpeko,0,0,100
iampojjjjjjjjj,100,0,0
Thanakrit Ponimthai,0,0,100
Uwuflex,0,0,100
smth,0,35,35
whatifyoucanusegpt?,0,30,35
eieieiei,0,30,20
Phurinut Sangob,0,42,5
Kampanat Yingseree,0,0,35
kiatthanapat srisomboon,0,0,35
kunzaZa183,30,0,0
Tee,0,30,0
Blackpepper,0,30,0
RainBow JohnnyJohnny,0,7,10
NortGlG-,0,0,10
NAT SIRIRUANGBUN,0,0,10
Natthaphon Kajai,0,8,0
Thitikorn Kham-ai,0,8,0
Kongpawit Senglai,0,7,0
Thanwa Phuthoson,0,0,5